kod_przyjazdu,count,procent_odrzuconych
IST,556,49.640287769784172662
OSL,1259,32.486100079428117554
MUC,1002,32.235528942115768463
BLL,510,29.411764705882352941
AMS,1795,27.465181058495821727
FCO,1120,26.517857142857142857
ORD,664,25.451807228915662651
BRU,657,25.418569254185692542
ZRH,807,24.907063197026022305
LGW,858,24.825174825174825175
ARN,1519,24.292297564186965109
EWR,976,22.23360655737704918
CPH,4035,21.883519206939281289
VIE,802,17.955112219451371571
BCN,1112,17.535971223021582734
CDG,2492,14.125200642054574639
LAX,923,12.56771397616468039
FRA,45613,12.544669282879880736
HEL,2744,11.44314868804664723
DUB,1269,10.638297872340425532
TXL,1401,8.63668807994289793
LIS,3839,8.231310237040896067
HHN,1418,7.968970380818053597
LHR,9939,6.831673206560016098
BUD,1223,4.987735077677841374
LCA,888,4.166666666666666667
WAW,3661,4.042611308385686971
DME,1578,3.929024081115335868
OPO,2889,3.842159916926272066
TUN,590,3.728813559322033898
SFO,4522,3.295002211410880142
MAD,6110,2.978723404255319149
JFK,18659,1.827536309555710381
GDN,6068,1.384311140408701384
OVB,1464,0.409836065573770492
POZ,4842,0.351094589012804626
TPS,1476,0.338753387533875339
KRK,25171,0.32179889555440785
SZZ,1388,0.288184438040345821
ABC,1139,0.263388937664618086
BZG,1530,0
