partner,procent_odrzuconych,count
kiribati,0.12091844341732518264,6707
tui,0.11522391257767302336,18668
,0.09773598736889590617,141872
itaka,0.00028851702250432776,3466
dreamtours,0,3478
wakacje.pl,0,5544
