id_agenta,ilosc_analiz,proc_odrzuconych,proc_zaakceptowanych
168,47854,0.00769005725749153676,0.99230994274250846324
17,13837,0.15155019151550191516,0.84844980848449808484
72,2441,0.12863580499795165916,0.87136419500204834084
70,1747,0.36462507155123068117,0.63537492844876931883
96,1672,0.07894736842105263158,0.92105263157894736842
8,1199,0.22768974145120934112,0.77231025854879065888
73,1082,0.21996303142329020333,0.78003696857670979667
14,1061,0.2167766258246936852,0.7832233741753063148
336,1002,0.28343313373253493014,0.71656686626746506986
97,829,0.25211097708082026538,0.74788902291917973462
16,800,0.20625,0.79375
10,775,0.24387096774193548387,0.75612903225806451613
37,765,0.29673202614379084967,0.70326797385620915033
32,697,0.28263988522238163558,0.71736011477761836442
49,684,0.08333333333333333333,0.91666666666666666667
7,625,0,1
103,570,0.26666666666666666667,0.73333333333333333333
94,557,0.11849192100538599641,0.88150807899461400359
105,548,0.27737226277372262774,0.72262773722627737226
257,517,0.03481624758220502901,0.96518375241779497099
135,396,0.03282828282828282828,0.96717171717171717172
30,363,0.14876033057851239669,0.85123966942148760331
289,349,0.01719197707736389685,0.98280802292263610315
48,312,0.12179487179487179487,0.87820512820512820513
115,311,0.3536977491961414791,0.6463022508038585209
79,221,0.25339366515837104072,0.74660633484162895928
3,212,0.03773584905660377358,0.96226415094339622642
113,176,0.17613636363636363636,0.82386363636363636364
196,165,0.12121212121212121212,0.87878787878787878788
2,154,0.05844155844155844156,0.94155844155844155844
65,137,0.06569343065693430657,0.93430656934306569343
177,104,0.00961538461538461538,0.99038461538461538462
187,103,0.02912621359223300971,0.97087378640776699029
84,103,0,1
75,102,0.01960784313725490196,0.98039215686274509804
163,99,0.06060606060606060606,0.93939393939393939394
215,93,0.04301075268817204301,0.95698924731182795699
263,87,0,1
112,74,0.04054054054054054054,0.95945945945945945946
26,65,0.01538461538461538462,0.98461538461538461538
337,62,0.03225806451612903226,0.96774193548387096774
29,57,0,1
34,56,0.07142857142857142857,0.92857142857142857143
