id_agenta,count,proc_wypl_agent
168,47854,0.72330421699335478748
17,13837,0.23494977234949772349
72,2441,0.1724702990577632118
70,1747,0.17057813394390383515
96,1672,0.45514354066985645933
8,1199,0.1075896580483736447
73,1082,0.19038817005545286506
14,1061,0.15268614514608859566
336,1002,0
97,829,0.13630880579010856454
16,800,0.1425
10,775,0.21548387096774193548
37,765,0.15555555555555555556
32,697,0.17216642754662840746
49,684,0.09210526315789473684
7,625,0.0432
103,570,0.14736842105263157895
94,557,0.18132854578096947935
105,548,0.0729927007299270073
257,517,0.1624758220502901354
135,396,0.67929292929292929293
30,363,0.25068870523415977961
289,349,0.00573065902578796562
48,312,0.25
115,311,0.01929260450160771704
79,221,0.12669683257918552036
3,212,0.7452830188679245283
113,176,0.04545454545454545455
196,165,0.41818181818181818182
2,154,0.47402597402597402597
65,137,0.22627737226277372263
177,104,0
187,103,0.54368932038834951456
84,103,0.37864077669902912621
75,102,0.15686274509803921569
163,99,0.37373737373737373737
215,93,0.47311827956989247312
263,87,0.91954022988505747126
112,74,0.22972972972972972973
26,65,0.01538461538461538462
337,62,0.20967741935483870968
29,57,0.77192982456140350877
34,56,0.21428571428571428571
22,45,0
179,45,0.71111111111111111111
15,44,0.02272727272727272727
197,41,0.12195121951219512195
53,41,0.58536585365853658537
25,39,0.15384615384615384615
13,39,0.28205128205128205128
114,39,0.53846153846153846154
206,38,0.81578947368421052632
239,34,0.11764705882352941176
204,34,0.08823529411764705882
199,33,0.06060606060606060606
128,32,0.4375
159,32,0.8125
21,31,0
174,30,0.13333333333333333333
260,30,0.1
241,29,0.03448275862068965517
158,29,0.44827586206896551724
166,28,0.85714285714285714286
252,28,0.14285714285714285714
130,28,1
62,26,0.03846153846153846154
11,25,0.92
244,25,0
170,25,0.92
36,24,0.08333333333333333333
147,20,0.35
64,20,0
82,17,0
20,16,0
221,16,0.3125
18,16,0.75
9,16,0.0625
33,16,0.1875
156,16,0.5625
232,15,0.26666666666666666667
54,15,0
258,15,0.6
182,14,0.28571428571428571429
250,14,0.14285714285714285714
313,13,0
240,13,0.07692307692307692308
126,12,0.16666666666666666667
203,12,0.66666666666666666667
76,11,0
256,11,0.36363636363636363636
31,11,0
246,11,0.63636363636363636364
23,11,0
71,10,0.4
210,10,0.4
253,10,0
85,10,0
362,10,0.3
283,9,0
74,9,0.22222222222222222222
68,9,0.11111111111111111111
287,9,0.77777777777777777778
191,9,0.77777777777777777778
245,8,0
270,8,0
110,8,0.375
298,8,0
111,7,1
242,7,0
93,7,0
12,7,0
319,6,0
229,6,1
124,6,0
91,5,0
343,5,0
107,5,0.2
222,5,0.2
165,5,0.8
92,4,0
176,4,1
267,4,0.25
131,4,0.5
136,4,0.5
209,4,1
295,3,0.66666666666666666667
237,3,0.33333333333333333333
192,3,1
106,3,0.33333333333333333333
1,3,0.33333333333333333333
268,3,0
108,3,0.66666666666666666667
140,3,0.66666666666666666667
261,3,0.66666666666666666667
69,3,1
193,3,1
236,2,0.5
143,2,1
335,2,0
286,2,0
154,2,1
243,2,0
299,2,0
95,2,1
160,2,0
